name,tier,trending,tag,composite_score,efficacy,safety,research,onset,cost,drug_interaction_inverse,description,dose,tips,cycle
Limosilactobacillus reuteri DSM 17938,t2,False,Infant colic · Gut health · Bone density,79,4,5,3,3,3,5,"One of the most studied probiotic strains in paediatrics. Cochrane reviews confirm L. reuteri DSM 17938 significantly reduces crying time in breastfed infants with colic. Also improves functional constipation in children and adults. Note: widely-cited ""bone density"" findings in older women come from a different L. reuteri strain (ATCC PTA 6475, Nilsson 2018) and should not be attributed to DSM 17938.","100 million to 1 billion CFU/day; established for infant colic, functional GI disorders, and emerging bone density data","For infant colic, give drops directly or mix into expressed breastmilk. For adults, take with or without food. Strain-specific — other L. reuteri strains do not have the same evidence.",
Folate (5-MTHF),t1,False,Pregnancy · Methylation · Mood,78,4,4,4,3,4,4,"The highest-rated recommendation for pregnancy and one of the most important supplements for women of childbearing age. WHO recommends 400 mcg daily for all women who could become pregnant. Birth defects of the spine and brain form by day 21 to 28, so you need to start before conception. The 5-MTHF form works for everyone regardless of genetics.",400–600 mcg/day 5-MTHF periconceptionally,Take at any time of day with or without food. Start at least 1 month before trying to conceive and continue through the first trimester. No major food or timing interactions.,
Glycine,t2,False,Sleep · Collagen synthesis · Metabolic,78,3,5,3,4,5,5,"Taking 3 g before bed significantly improves both how well you sleep and measurable sleep quality. Also an essential building block your body needs to make collagen and the antioxidant glutathione. Very safe, inexpensive, and mildly sweet tasting. Excellent long-term safety profile across doses studied, with only occasional mild GI upset at single servings above 15 g.",3 g before bed for sleep; 10–15 g/day for collagen synthesis (with vitamin C),For sleep: dissolve in warm water and take 30–60 min before bed. Has a mild sweet taste. Can be added to drinks or food. No known drug or food interactions.,
Ginger (Zingiber officinale),t1,False,Nausea · Inflammation · Pain,78,4,4,4,4,4,3,"One of the most versatile natural remedies for nausea. A Cochrane review (Matthews 2015) and ACOG guidelines support ginger for pregnancy nausea at ~1 g/day. Evidence for chemotherapy-induced nausea is more mixed — some meta-analyses (Marx 2013, Crichton 2019) suggest modest benefit as an adjunct to standard antiemetics, others are null. Anti-inflammatory activity via COX/5-LOX inhibition. At doses above 4 g/day it may mildly increase bleeding risk — use caution if on blood thinners.",1–2 g/day standardised extract (5% gingerols) for nausea; 500 mg × 2–3 for inflammation; keep under 4 g/day,"Can be taken with or without food. For nausea, take at the first sign of queasiness. Space 2 hours from blood thinners. Avoid doses above 4 g/day if on anticoagulants.",
Peppermint oil (enteric-coated),t2,False,IBS · Gut motility · Pain,78,4,4,4,4,3,4,"One of the best-supported natural treatments for IBS. A 2024 review of 12 trials found enteric-coated peppermint oil significantly improves overall IBS symptoms including pain, bloating, and urgency. Must use enteric-coated capsules because regular peppermint oil won't survive stomach acid. Take 30 to 60 minutes before meals for best results.","0.2–0.4 mL enteric-coated capsule × 3 daily, 30–60 min before meals",Take 30–60 min before meals on an empty stomach. Do not crush or chew — swallow whole. Avoid antacids within 1 hour as they can dissolve the enteric coating too early.,
Phytosterols (beta-sitosterol complex),t2,False,Cholesterol · Heart,78,4,4,4,3,4,4,"Plant sterols and stanols (beta-sitosterol, campesterol, stigmasterol, and their saturated stanol forms) compete with dietary and biliary cholesterol for intestinal absorption, reliably lowering LDL by 8-12% at 2 g/day. This is one of the few non-drug lipid interventions with EFSA-authorised health claims. Effect is dose-responsive to about 2-3 g/day, then plateaus. Mildly reduces fat-soluble vitamin absorption — maintain varied diet. Contraindicated in phytosterolaemia (sitosterolaemia, rare genetic disorder). Complementary to statins.","1.5–3 g phytosterols/stanols daily, split across meals",Must be taken with fat-containing meals to work; split across 2-3 meals for best effect; do not exceed 3 g/day (no additional benefit); avoid in homozygous sitosterolaemia,
Vitamin D3 liquid drops,t2,False,Bone · Immunity · Flexible dosing,77,4,4,3,3,5,4,"Liquid vitamin D3 in MCT oil that allows precise dose adjustments down to 200 IU per drop. Better absorbed than tablets because it is already dissolved in fat. Ideal for infants, children, and adults who have difficulty swallowing pills. Also useful for people who need high-dose loading protocols under medical supervision. Store away from light and heat.","1,000–2,000 IU/day (1–2 drops) maintenance; liquid allows precise titration for all ages",Drop onto food or into a fatty drink for best absorption. Take with a meal containing fat. Morning is ideal to avoid sleep interference.,
Zinc picolinate,t2,False,Immunity · Absorption · Taste and smell,77,4,4,3,4,4,4,The picolinate-chelated form of zinc with absorption studies showing 61 percent better uptake than zinc citrate and significantly better than zinc oxide. Particularly relevant for people with impaired zinc absorption. Loss of taste and smell — a classic zinc deficiency sign — responds well to supplementation within days. Avoid long-term doses above 40 mg daily due to copper depletion risk.,15–30 mg/day zinc picolinate; copper supplementation needed if exceeding 25 mg/day long-term,"Take with food to prevent nausea. Space 2 hours from iron, calcium, and antibiotics. Long-term use above 25 mg/day requires 1–2 mg copper daily to prevent copper deficiency.",
Folic acid (synthetic),t2,False,Pregnancy · Neural tube defects · Prenatal · MTHFR consideration,77,4,3,5,3,5,3,"The synthetic form of vitamin B9 used in food fortification and most prenatal vitamins. Gold standard evidence for neural tube defect prevention: 400–800 mcg/day starting 1 month before conception reduces NTD risk by 70% (one of the most replicated findings in nutrition). Critical limitation: up to 40% of people carry MTHFR C677T variants that reduce conversion of folic acid to active methylfolate (5-MTHF) by 30–70%. For these individuals, 5-MTHF directly bypasses the conversion bottleneck. High-dose folic acid (>1,000 mcg/day) can mask vitamin B12 deficiency by correcting megaloblastic anaemia while neurological damage continues silently.",400 mcg/day standard supplementation. 400–800 mcg/day for pregnancy planning and first trimester. 5 mg/day (prescription) for previous NTD or high risk.,"All women of childbearing age should supplement folate. If MTHFR status is unknown, 5-MTHF (methylfolate) is the safer universal choice. High-dose folic acid above 1,000 mcg/day can mask B12 deficiency — always monitor B12 alongside. Most prenatal vitamins contain 400–800 mcg.",Safe for continuous daily use indefinitely. Essential throughout pregnancy and breastfeeding. No cycling needed.
Acerola cherry extract,t2,False,Immunity · Antioxidant · Skin · Vitamin C,77,4,5,3,3,3,4,"One of the richest natural sources of vitamin C (1,500–4,500 mg per 100 g fresh fruit), providing ascorbic acid alongside synergistic bioflavonoids including rutin, hesperidin, and quercetin. The whole-food matrix improves tolerability compared to megadose synthetic ascorbic acid and may reduce pro-oxidant effects at high doses. RCTs confirm immune support, skin collagen stimulation, and antioxidant capacity. Ideal for those who prefer food-derived micronutrients over isolated synthetic vitamins.","500–2,000 mg standardised extract (17.5% vitamin C) daily",Better tolerated than synthetic high-dose vitamin C; split doses throughout the day for sustained plasma levels,
Citrulline malate,t1,False,Muscular endurance · Blood flow,76,3,5,3,4,4,5,"Helps you do more reps before exhaustion and reduces post-workout soreness. Multiple trials confirm these endurance benefits for both strength and cardio exercise. Surprisingly, it raises blood arginine levels better than arginine supplements themselves. Very safe with an excellent tolerance profile. Take about 60 minutes before exercise.","8 g citrulline malate (2:1 form) or 6–8 g pure L-citrulline, 60 min before exercise",Take 60 min before exercise on an empty stomach or light meal for best results. Can be mixed in water or a pre-workout drink. No major drug or food interactions.,
Vitamin C (moderate dose),t2,False,Immunity · Collagen · Antioxidant,76,3,5,3,3,5,5,"Essential for collagen production, immunity, and iron absorption. Cochrane found regular supplementation shortens colds by 8% in adults and 14% in children. Your body can only absorb about 200 mg at a time, so higher doses are mostly wasted. Pair with iron supplements to boost iron absorption. Very safe at moderate doses with no serious side effects.",200–500 mg/day; higher doses are excreted. Pair with iron supplements to enhance absorption,"Take with water in the morning, with or without food. Take alongside iron supplements (with food) to boost iron absorption. Buffered or liposomal forms are gentler if you have a sensitive stomach. Split high doses (>500 mg) into 2 daily portions for better retention.",
Tyrosine (L-tyrosine),t2,False,Focus · Stress resilience · Cognition,76,3,5,3,4,4,5,"A building block for the brain chemicals dopamine and adrenaline. Military trials show it significantly preserves mental performance under acute stress, sleep deprivation, and cold exposure. Will not boost cognition under normal, rested conditions. Take 30 to 60 minutes before stressful situations. Very safe with no serious side effects.","500–2,000 mg 30–60 min before acute stress or demanding cognitive tasks",Take on an empty stomach 30–60 min before the demanding task. Avoid taking with protein-rich food — other amino acids compete for absorption. Not for daily use.,
